Frame;Elbow Angle;
0;-177.99608257318494;
1;-177.5901310903677;
2;-177.5917567534041;
3;-177.63499802790105;
4;-177.24931072117363;
5;-175.9740233483853;
6;-176.0302430231058;
7;-176.90585057023176;
8;-176.78887838167154;
9;-176.81119048800684;
10;-176.91871419209951;
11;-177.74464811837115;
12;-177.73420325739446;
13;-177.87032082773618;
14;-178.22185524391006;
15;-179.44284417368053;
16;-179.8405264816071;
17;-179.76564472673073;
18;-179.44868580493585;
19;-179.31607787298884;
20;-179.1202887196835;
21;-178.91191181247981;
22;-178.25396524565082;
23;-177.77091939887038;
24;-177.0644324844982;
25;-176.84285750075372;
26;-176.76330377323052;
27;-176.9578970245368;
28;-177.356384871769;
29;-177.10181507466456;
30;-176.8057444263619;
31;-176.3763983752951;
32;-173.40988717664075;
33;-173.3043208372226;
34;-170.92495339830907;
35;-165.76017957958325;
36;-159.69229465151997;
37;-157.15158436120794;
38;-153.97848857292297;
39;-151.59805795685952;
40;-149.83063604967663;
41;-150.5802626490259;
42;-147.87352464880388;
43;-148.017890105841;
44;-145.23196009284365;
45;-145.7085525404254;
46;-143.74333209423816;
47;-143.74301031598677;
48;-142.128398043571;
49;-142.59098534021322;
50;-141.75725757597155;
51;-142.6978730648021;
52;-143.11295468328774;
53;-143.388309216065;
54;-143.23964079089365;
55;-142.25571442010616;
56;-142.81456589276607;
57;-142.83897350889083;
58;-143.0932903389918;
59;-143.8122503226348;
60;-144.52786817476598;
61;-144.38452330461223;
62;-145.14939180057254;
63;-146.4334514823285;
64;-146.3192693444666;
65;-147.4263867707413;
66;-146.3987421726405;
67;-145.32628117099136;
68;-144.8656832910041;
69;-143.24139545580763;
70;-141.92124003965736;
71;-140.12127038355436;
72;-137.82317869953002;
73;-135.048323188677;
74;-133.0715664334932;
75;-131.39529306106698;
76;-130.4335290026456;
77;-129.03470963920205;
78;-124.45580108395889;
79;-119.9695524496626;
80;-114.14843614058915;
81;-112.43648379589028;
82;-107.51363836870057;
83;-105.85935310874305;
84;-104.31679059046384;
85;-105.75598138474119;
86;-102.42191282907358;
87;-100.91082949957445;
88;-98.11554880104889;
89;-97.08297272961758;
90;-94.74005296686384;
91;-94.74224449871029;
92;-94.28740118390485;
93;-93.09424397241088;
94;-92.15199049967802;
95;-91.48256156218869;
96;-92.60469197487603;
97;-91.87139638335803;
98;-92.04517971696957;
99;-92.07983154466731;
100;-91.67823875713584;
101;-91.15054025974953;
102;-90.85731298620999;
103;-90.66571230694885;
104;-90.13373955310259;
105;-89.8985777399607;
106;-88.94937884417543;
107;-88.65777626562875;
108;-87.68983755066579;
109;-87.01481588757963;
110;-86.81994907583535;
111;-86.61400720311637;
112;-85.77483862084922;
113;-85.37647289638598;
114;-85.03075768915909;
115;-84.72570877071782;
116;-84.9972756986444;
117;-85.12067790885501;
118;-85.51203679847364;
119;-85.48368519267683;
120;-85.55711942451315;
121;-85.46097617854736;
122;-85.12278803643302;
123;-84.7136904610708;
124;-84.09205611260542;
125;-83.14323944199238;
126;-82.76531050771122;
127;-82.48278219990621;
128;-82.22810840249306;
129;-81.96567747638021;
130;-81.86493615325828;
131;-81.37473178409293;
132;-81.1887035372102;
133;-80.82927800699959;
134;-80.56614086273319;
135;-80.50236195567543;
136;-80.69770291691586;
137;-80.79567855604907;
138;-80.4286776388435;
139;-80.13300135868201;
140;-80.57072726851672;
141;-80.59438587446989;
142;-80.50036805193054;
143;-80.5668488772598;
144;-80.7483520973443;
145;-80.63620403621933;
146;-80.60043346515653;
147;-80.59431437520581;
148;-80.52312517404485;
149;-80.9014043707158;
150;-81.14030876332649;
151;-80.8335753399998;
152;-80.75273821439437;
153;-80.4468359420767;
154;-80.17269672663394;
155;-79.80258286770537;
156;-79.67849445394906;
157;-79.28477257072048;
158;-79.18581399007407;
159;-79.25491883843542;
160;-79.16081893731798;
161;-79.62535792381648;
162;-79.7698671334475;
163;-79.8772186260846;
164;-79.9702904967468;
165;-80.0143471397038;
166;-80.21501519526417;
167;-80.1129183543581;
168;-80.54969847128912;
169;-80.55232635231476;
170;-80.55951603572433;
171;-80.72446074635221;
172;-80.97293173183506;
173;-80.91150310856008;
174;-80.19013888485146;
175;-80.17839741273997;
176;-80.15498182351017;
177;-79.37857128056245;
178;-79.36717811458503;
179;-79.58797679434566;
180;-80.4183125486175;
181;-80.4842101881529;
182;-80.42477300597868;
183;-80.74874999436946;
184;-80.97092456712474;
185;-80.9084166062203;
186;-81.06243240232246;
187;-81.0145041817986;
188;-81.54691847754836;
189;-82.7731845988437;
190;-82.69203297977954;
191;-83.19317400627978;
192;-83.51322041099958;
193;-83.49223213091665;
194;-84.00516559722536;
195;-84.67343579238069;
196;-85.0432554371579;
197;-85.25773241922694;
198;-85.87808798771881;
199;-86.12532223749349;
200;-87.1510752977297;
201;-87.71108425375438;
202;-89.6472122317061;
203;-90.5810432681983;
204;-91.6451777981467;
205;-93.18196397548773;
206;-94.09154588885482;
207;-95.95724249131922;
208;-96.48187452087191;
209;-100.1925734773056;
210;-101.82036751002522;
211;-102.08758309582515;
212;-106.14699431740507;
213;-108.26614146076848;
214;-110.23296368474715;
215;-114.75110737558354;
216;-117.05612080440757;
217;-114.85628203123889;
218;-112.47363689489741;
219;-114.39006806468011;
220;-116.1657424577664;
221;-117.73664449725804;
222;-117.21302102191089;
223;-116.95163036834181;
224;-118.00801322085515;
225;-118.10534158861677;
226;-117.82349270342952;
227;-125.04414593799243;
228;-122.50237560174936;
229;-124.18544298623719;
230;-124.88577031888416;
231;-125.17922710982275;
232;-127.60765910701346;
233;-128.80868349817302;
234;-129.43927099024253;
235;-129.467208073374;
236;-129.69653042981062;
237;-130.2696287693401;
238;-130.6474750027013;
239;-131.20033370680318;
240;-131.04531979915143;
241;-132.45731125739405;
242;-133.6609778669259;
243;-134.42004149959007;
244;-134.6257464947421;
245;-135.88203361368144;
246;-136.5793420671299;
247;-136.55487717027574;
248;-137.96785847761862;
249;-137.97599936570282;
250;-137.63784659449612;
251;-137.47672716061615;
252;-137.6029345082946;
253;-138.08711780955863;
254;-139.01769952473427;
255;-139.0424338294301;
256;-140.4915804080333;
257;-140.26093670519384;
258;-140.92468490706113;
259;-141.27412168259764;
260;-141.20992995850634;
261;-141.8931242329019;
262;-141.78712084328956;
263;-139.88717911185026;
264;-139.09730621573672;
265;-142.42285832571548;
266;-144.0361732810873;
267;-144.2927108388633;
268;-145.14228520566445;
269;-146.94876734235882;
270;-146.09937981839985;
271;-150.71780117640225;
272;-150.65508895608897;
273;-152.02481537164505;
274;-151.4614398616621;
275;-152.0968034849951;
276;-150.7561814308653;
277;-152.07059332601332;
278;-153.8645897855856;
279;-152.04552295743605;
280;-151.22982702055967;
281;-151.12784992005257;
282;-153.5136763716197;
283;-154.2123053433604;
284;-154.18480210318032;
285;-154.46754275649494;
286;-155.69734700740557;
287;-155.24248921704068;
288;-155.01912048862442;
289;-155.7332180747724;
290;-156.84150028202183;
291;-157.71302801919478;
292;-157.95840396850718;
293;-159.8790103937273;
294;-161.95123663823398;
295;-162.65872050593927;
296;-162.4714794084663;
297;-162.35421542315493;
298;-162.12947066900125;
299;-161.70984307025896;
300;-161.5603984384129;
301;-163.19574429867163;
302;-163.0519960302328;
303;-163.01639374735123;
304;-164.29950841967752;
305;-164.22249688203541;
306;-166.46579563343772;
307;-167.86579755411609;
308;-170.9415597466017;
309;-170.28723996005502;
310;-169.76936834383122;
311;-168.92623248061514;
312;-168.3373322775642;
313;-168.87398050635014;
314;-168.69525080432646;
315;-166.44346466637305;
316;-164.1817955927058;
317;-163.01817597174806;
318;-161.9890252799451;
319;-164.01048491744407;
320;-164.03792095122935;
321;-164.4364025012183;
322;-164.91527520124015;
323;-164.90212770285044;
324;-164.90782794647856;
325;-164.6386260458956;
326;-164.15704751720563;
327;-162.88524607754286;
328;-162.7949871900505;
329;-162.35549883871133;
330;-159.73953983097147;
331;-160.19427651950895;
332;-160.8344179210594;
333;-160.7459189589808;
334;-161.21250602320393;
335;-162.04317091659084;
336;-162.7367667491916;
337;-162.62275522691147;
338;-162.75236347137016;
339;-163.0561242154802;
340;-162.0604465872807;
341;-161.8065023632895;
342;-161.85199853719428;
343;-161.81478709240673;
344;-161.81821239535867;
345;-161.85199561466035;
346;-161.42940833364938;
347;-159.8862768768599;
348;-159.78286563860027;
349;-160.4158412745957;
350;-160.3389970665474;
351;-160.20781229001452;
352;-160.1617839225178;
353;-158.88714838793595;
354;-158.68768948737764;
355;-158.381719468186;
356;-158.94702060961788;
357;-159.2318823400348;
358;-159.55496258696448;
359;-159.99173026638718;
360;-159.56203830834684;
361;-159.44808700777247;
362;-159.59080129772434;
363;-159.53797081035742;
364;-159.8838666481753;
365;-160.62180157584933;
366;-160.62750102521179;
367;-160.31993058174484;
368;-160.28414989133725;
369;-158.65491730754022;
370;-157.42451001291775;
371;-156.38145561280032;
372;-156.86677944690746;
373;-156.27951732155037;
374;-156.39704617879354;
375;-160.50014736989775;
376;-161.90034017585407;
377;-162.00173239650874;
378;-161.71222411522322;
379;-162.1772053221253;
380;-162.43198320758648;
381;-162.48672087793256;
382;-164.94478376185148;
383;-166.32341799374439;
384;-165.655644669444;
385;-162.33286865968665;
386;-161.9647943948181;
387;-162.07643348644984;
388;-162.28605119575926;
389;-162.15607435420605;
390;-162.08580910670966;
391;-160.81885763255022;
392;-160.5951239053366;
393;-160.28239331027513;
394;-160.29445897295884;
395;-160.33055207679854;
396;-162.07695267988277;
397;-162.1685746173182;
398;-161.97751021174122;
399;-161.71372722054318;
400;-160.8661467080923;
401;-161.5673453950904;
402;-163.16260123286503;
403;-162.7603757836805;
404;-158.38579874954914;
405;-153.6747267437949;
406;-152.7142254982063;
407;-152.37108151094236;
408;-153.02030560317257;
409;-148.89164043188822;
410;-143.74500108787876;
411;-141.53359176678956;
412;-141.7688969068983;
413;-138.270612192501;
414;-137.648856513278;
415;-135.1738705557178;
416;-132.85492382788192;
417;-130.27493642129937;
418;-128.07185464107957;
419;-125.54603276809318;
420;-117.50921754229796;
421;-116.9324791767375;
422;-110.13276560533222;
423;-110.4187392608838;
424;-109.91156244294358;
425;-109.28986273154047;
426;-108.36788658211844;
427;-105.75582386045096;
428;-104.60925229542448;
429;-101.80432720908951;
430;-102.50997719412027;
431;-101.12393842074071;
432;-101.63850175699054;
433;-102.79566666514128;
434;-102.62473269436833;
435;-102.27310378484292;
436;-99.20283211266053;
437;-97.02830929169023;
438;-96.61839564227584;
439;-97.01882981601763;
440;-96.20421838316192;
441;-94.65159662076258;
442;-92.70654348483083;
443;-90.75313098318516;
444;-88.12304304772364;
445;-87.25982828248966;
446;-86.15964412558961;
447;-86.12375691770106;
448;-85.76430890822489;
449;-84.48453447477455;
450;-83.9809163777819;
451;-83.9064811066661;
452;-83.56299672366067;
453;-83.22456189067577;
454;-83.0687198729884;
455;-83.15457002874194;
456;-82.10868356405993;
457;-81.97089202457435;
458;-81.89748057661272;
459;-81.82715370742682;
460;-81.66081420205013;
461;-81.93274989631935;
462;-81.6870873643738;
463;-81.18841967298012;
464;-80.86028918895921;
465;-80.66715690009319;
466;-80.65332349180726;
467;-80.44966578239526;
468;-80.2471422575177;
469;-80.41509111846476;
470;-80.37843495107553;
471;-80.22555088201739;
472;-80.02761786714143;
473;-79.91741972123006;
474;-79.66757242112523;
475;-79.78023739433593;
476;-79.6688790279159;
477;-79.67285684676607;
478;-79.83480001364917;
479;-79.87530470612352;
480;-80.19924109821653;
481;-80.19348669027048;
482;-81.1881312932958;
483;-80.99319496291197;
484;-81.00856603639593;
485;-80.79159678983451;
486;-80.43911527478883;
487;-80.44585628742455;
488;-80.36189540790865;
489;-80.40848055341498;
490;-80.8770317835901;
491;-80.86332891871886;
492;-80.68742549308031;
493;-80.18161385663994;
494;-80.1551026844164;
495;-79.79279203686478;
496;-79.72758338888337;
497;-79.33063519795036;
498;-79.18123771366456;
499;-79.04726398192022;
500;-79.29544180991923;
501;-79.40686556350848;
502;-79.8659307116578;
503;-79.91054521351799;
504;-79.76185018223732;
505;-79.7175997767425;
506;-79.56709355888172;
507;-79.5359456267529;
508;-79.61016137773197;
509;-79.66541511677376;
510;-79.764848657058;
511;-79.27079687876765;
512;-79.38788422433247;
513;-79.29743589273957;
514;-79.21624932986795;
515;-79.0524338665924;
516;-79.03393720098998;
517;-78.91993683866734;
518;-78.95824550568554;
519;-79.26227079254976;
520;-80.5585245701096;
521;-80.29976964822755;
522;-79.70687595417421;
523;-79.73414491052766;
524;-79.71853154015295;
525;-79.22562128220433;
526;-79.15980594565522;
527;-78.78557876168439;
528;-78.7828320543555;
529;-78.87170129673237;
530;-78.9191420139681;
531;-78.9455390220276;
532;-78.96351900972945;
533;-78.88902286481333;
534;-78.73880051143051;
535;-78.70715830478959;
536;-78.71139058517694;
537;-78.49859075798719;
538;-78.4785350355251;
539;-78.31210933219377;
540;-78.08360796609695;
541;-78.1338843860938;
542;-78.2709145860782;
543;-78.35713097181744;
544;-78.34666684735394;
545;-78.45030487394187;
546;-78.83251483709911;
547;-78.8694542082304;
548;-79.28074298850295;
549;-79.07274472135661;
550;-78.9094568681712;
551;-78.72633190952352;
552;-78.28419166468824;
553;-77.96107756639299;
554;-78.0688796828669;
555;-78.22713022333353;
556;-78.23066182553654;
557;-78.19057203766572;
558;-78.42248512077663;
559;-78.28057970924037;
560;-78.35964637171226;
561;-78.3112517306676;
562;-78.31640728692534;
563;-78.14220101724757;
564;-78.3790298968498;
565;-78.52468715459338;
566;-78.57321786516243;
567;-78.55478565658285;
568;-78.33842611607275;
569;-78.37282098106839;
570;-78.30752476685119;
571;-78.43785209927583;
572;-78.45907854803221;
573;-78.62042953988842;
574;-78.74088766065461;
575;-78.91262352450819;
576;-79.07420367003304;
577;-79.16565295249107;
578;-79.54469533767681;
579;-79.76541237876117;
580;-80.07931691300062;
581;-81.52710910315587;
582;-81.74687312017788;
583;-82.12164466365297;
584;-82.85215954738293;
585;-84.2174614731177;
586;-85.42919017970887;
587;-87.78081653282503;
588;-90.15915150875321;
589;-92.82123412236014;
590;-96.0011242780701;
591;-97.74843508433247;
592;-100.08700064949174;
593;-104.70237421641518;
594;-106.85837333641983;
595;-107.47404198268863;
596;-112.14518995346171;
597;-112.29666750762762;
598;-113.1916373389999;
599;-116.83738851990915;
600;-119.39461094399881;
601;-120.47997447756174;
602;-122.68274661182824;
603;-127.507761797351;
604;-126.85441321799544;
605;-127.97232421241613;
606;-130.3706087039197;
607;-132.62234273293555;
608;-134.1152502538252;
609;-136.13145538728082;
610;-137.3314342072071;
611;-138.95607136806296;
612;-139.68641918981967;
613;-142.02560310791824;
614;-142.9536750296763;
615;-143.60015363892916;
616;-143.55505988534804;
617;-145.01252738277145;
618;-146.25465429943952;
619;-147.00862247316067;
620;-146.86584966345845;
621;-147.55319868773225;
622;-147.87714252035553;
623;-149.69225054765238;
624;-148.03296473300176;
625;-146.87580531760392;
626;-149.305698891385;
627;-150.84533025177547;
628;-153.09852963528894;
629;-153.26958441773903;
630;-155.7786848307135;
631;-158.7154052056167;
632;-159.95312679561317;
633;-161.15190634211757;
634;-162.8330591984223;
635;-163.55520858823425;
636;-162.38198389816955;
637;-162.00295375642403;
638;-162.19092365400402;
639;-161.91665125380075;
640;-161.56470577644546;
641;-164.29325437598283;
642;-162.81431423207013;
643;-161.67874345542157;
644;-161.76069274938314;
645;-160.80631725857484;
646;-158.41781868974005;
647;-157.0854365408381;
648;-155.27439005228516;
649;-155.5600569003499;
650;-155.53975079279812;
651;-155.023254431874;
652;-153.2721368495013;
653;-153.8188932883;
654;-154.187341002022;
655;-153.72780134935104;
656;-153.84718871615604;
657;-153.86253655380247;
658;-154.05778019963068;
659;-154.17941919818077;
660;-154.32857015039735;
661;-154.16124518392613;
662;-153.7369615709737;
663;-153.5095902980736;
664;-154.4651697166271;
665;-154.49584879926664;
666;-154.6415708806454;
667;-155.62624011034956;
668;-155.64597934822808;
669;-155.3165027501859;
670;-153.38904810974066;
671;-153.95057920639607;
672;-153.95459557071442;
673;-153.9934335780143;
674;-154.30367807068052;
675;-154.33592614544924;
676;-153.41028117162423;
677;-155.59114278021383;
678;-154.60598584111708;
679;-154.49852765038872;
680;-153.8662913324997;
681;-153.86383824473148;
682;-155.91279734138283;
683;-156.0863642625718;
684;-155.59550040053833;
685;-155.75009466518205;
686;-156.43423545651325;
687;-158.11116553292322;
688;-158.12503257786938;
689;-157.71350056787904;
690;-154.40946015193006;
691;-154.3776811721199;
692;-153.82575645441958;
693;-153.9673016359013;
694;-152.98546186068887;
695;-152.83723797177672;
696;-153.0648349716155;
697;-153.80268856877512;
698;-153.82457840109285;
699;-153.85835134379874;
700;-154.14996714183562;
701;-154.04418791388025;
702;-152.928528485933;
703;-154.44200427287424;
704;-155.4499785265412;
705;-154.49522331061337;
706;-152.62346965928782;
707;-152.05189077581085;
708;-150.70397839281034;
709;-151.4891447269588;
710;-148.722233616777;
711;-149.3568509125701;
712;-148.11558355023783;
713;-148.4685577745719;
714;-148.93432672266584;
715;-148.87695583115698;
716;-148.3887303737835;
717;-145.71445230027217;
