sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
0.05,0,approach,0,failed,0.63164,0.03391,0.6969,1.396263,-2.172727,-1.570096,0.610866,-0.000149,-0.78614,7.1e-05,80.0,-124.4881,-89.9599,35.0,-0.0085,-45.0425,0.0041,0
0.1,0,approach,0,failed,0.62188,0.04213,0.69422,1.396263,-2.252862,-1.571543,0.610865,-0.000176,-0.786361,0.000164,80.0,-129.0795,-90.0428,35.0,-0.0101,-45.0552,0.0094,0
0.15,0,approach,0,failed,0.61365,0.04964,0.69263,1.396263,-2.33261,-1.571596,0.610865,-0.00019,-0.786436,0.000176,80.0,-133.6487,-90.0458,35.0,-0.0109,-45.0595,0.0101,0
0.2,0,approach,0,failed,0.60578,0.05747,0.69167,1.396263,-2.412169,-1.571349,0.610865,-0.0002,-0.786484,0.000172,80.0,-138.2071,-90.0317,35.0,-0.0114,-45.0622,0.0099,0
0.25,0,approach,0,failed,0.59847,0.06554,0.69135,1.396263,-2.486131,-1.571552,0.610865,-0.0002,-0.786501,0.000193,80.0,-142.4448,-90.0433,35.0,-0.0115,-45.0632,0.011,0
0.3,0,approach,0,failed,0.59695,0.06702,0.69112,1.396263,-2.503165,-1.572324,0.610865,-0.00018,-0.786428,0.000209,80.0,-143.4208,-90.0875,35.0,-0.0103,-45.059,0.012,0
0.35,0,approach,0,failed,0.59728,0.0656,0.69063,1.396263,-2.504594,-1.571212,0.610865,-0.000196,-0.786462,0.000164,80.0,-143.5027,-90.0238,35.0,-0.0112,-45.061,0.0094,0
0.4,0,approach,0,failed,0.59706,0.06518,0.69028,1.396263,-2.504416,-1.570807,0.610865,-0.000202,-0.786479,0.000147,80.0,-143.4925,-90.0006,35.0,-0.0116,-45.0619,0.0084,0
0.45,0,approach,0,failed,0.5967,0.06502,0.68998,1.396263,-2.504453,-1.570706,0.610865,-0.000205,-0.78648,0.00014,80.0,-143.4946,-89.9948,35.0,-0.0117,-45.062,0.008,0
0.5,0,approach,0,failed,0.59634,0.06487,0.68968,1.396263,-2.504604,-1.570656,0.610865,-0.000205,-0.78648,0.000136,80.0,-143.5032,-89.992,35.0,-0.0118,-45.062,0.0078,0
0.55,0,approach,0,failed,0.59597,0.06472,0.68937,1.396263,-2.504454,-1.570664,0.610865,-0.000206,-0.78648,0.000136,80.0,-143.4947,-89.9924,35.0,-0.0118,-45.062,0.0078,0
0.6,0,approach,0,failed,0.59559,0.06458,0.68907,1.396263,-2.504604,-1.570642,0.610865,-0.000206,-0.78648,0.000135,80.0,-143.5033,-89.9911,35.0,-0.0118,-45.062,0.0077,0
0.65,0,approach,0,failed,0.59522,0.06443,0.68877,1.396263,-2.504455,-1.57066,0.610865,-0.000206,-0.78648,0.000135,80.0,-143.4947,-89.9922,35.0,-0.0118,-45.062,0.0077,0
