trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,12.988,0.6314,-0.2145,1.2393
2,Trial 2,success,1.061,0.643,-0.0613,1.2124
3,Trial 3,success,2.39,0.6691,0.0022,0.9901
4,Trial 4,success,1.702,0.655,-0.2142,1.2219
5,Trial 5,success,2.612,0.7007,0.0486,0.9293
6,Trial 6,success,1.69,0.5262,-0.2924,1.2179
7,Trial 7,success,3.141,0.6706,0.0511,0.9139
8,Trial 8,timeout,20.297,0.5088,-0.2556,0.8841
9,Trial 9,success,2.121,0.6836,-0.1353,0.9786
10,Trial 10,success,2.394,0.7146,-0.204,1.0957
