trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z
1,Transport 1,success,54.291,0.6768,-0.0909,0.849,0.5533,-0.2524,1.295
2,Transport 2,success,8.857,0.6892,-0.1705,1.1386,0.6657,-0.1938,0.9456
3,Transport 3,success,11.2,0.689,-0.1162,0.854,0.5104,-0.3735,1.0861
4,Transport 4,success,35.589,0.6803,-0.1391,1.2519,0.7346,-0.1041,0.9591
5,Transport 5,success,5.416,0.7181,-0.1423,0.9286,0.5958,-0.3342,1.075
6,Transport 6,success,21.636,0.4875,-0.377,0.895,0.6433,-0.1708,1.2426
7,Transport 7,success,42.722,0.6004,-0.0866,1.3377,0.724,-0.1535,1.0755
8,Transport 8,success,6.206,0.6305,-0.2143,1.2307,0.7488,-0.117,1.0655
9,Transport 9,success,35.085,0.5177,-0.3473,0.9632,0.7066,-0.1825,1.101
10,Transport 10,success,12.123,0.6858,-0.0835,1.2095,0.546,-0.2854,0.8484
