trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s
1,Transport 1,success,38.519,0.6395,-0.305,1.0335,0.705,-0.128,0.8652,0.6537,-0.0224,1.04,0.283,0.2106,27.933,1.573,8.491,0.64
2,Transport 2,success,14.438,0.5697,-0.3007,1.2367,0.63,-0.2364,1.2171,0.7174,-0.158,0.8985,0.3957,0.3396,9.545,2.286,0.957,1.655
3,Transport 3,success,5.857,0.6283,-0.1804,1.279,0.6409,-0.2083,1.1825,0.6271,-0.2185,1.2284,0.0634,0.049,1.183,1.924,1.308,1.448
4,Transport 4,success,22.121,0.6253,-0.1875,0.829,0.6846,-0.2076,0.9751,0.6145,-0.2074,1.1373,0.3092,0.1767,13.321,0.987,5.249,2.562
5,Transport 5,success,52.027,0.657,-0.2133,0.922,0.5018,-0.3498,0.9167,0.6939,-0.1975,1.0001,0.0879,0.259,1.435,2.465,47.492,0.641
6,Transport 6,success,11.448,0.6892,-0.2239,0.9285,0.5402,-0.3197,1.2162,0.5485,-0.3193,0.9142,0.1707,0.3021,1.846,2.09,6.626,0.893
7,Transport 7,success,21.157,0.6017,-0.2807,0.8538,0.7283,-0.0357,0.9857,0.5532,-0.3056,1.2142,0.3646,0.3947,13.811,1.282,5.045,1.02
8,Transport 8,success,5.332,0.6519,-0.2585,1.0216,0.6513,-0.2676,1.028,0.7553,-0.0403,0.9899,0.2435,0.2529,3.231,1.231,0.021,0.852
9,Transport 9,success,7.698,0.6302,-0.2963,1.1021,0.677,-0.184,0.9565,0.6982,-0.263,1.0396,0.0982,0.1166,1.518,1.424,3.572,1.183
10,Transport 10,success,11.0,0.6353,-0.0558,1.2991,0.619,-0.2833,0.9802,0.7268,-0.1744,0.9825,0.3502,0.1532,6.638,1.423,1.943,0.996
