sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
0.05,0,,1,no_pose,0.63164,0.03391,0.6969,1.396263,-2.172727,-1.570096,0.610866,-0.000149,-0.78614,7.1e-05,80.0,-124.4881,-89.9599,35.0,-0.0085,-45.0425,0.0041,0
0.1,0,,1,no_pose,0.62209,0.0423,0.69444,1.396263,-2.252855,-1.571542,0.610865,-0.000176,-0.786361,0.000164,80.0,-129.0791,-90.0427,35.0,-0.0101,-45.0552,0.0094,0
0.15,0,,1,no_pose,0.6143,0.05013,0.69329,1.396263,-2.33261,-1.571596,0.610865,-0.00019,-0.78644,0.000177,80.0,-133.6487,-90.0458,35.0,-0.0109,-45.0597,0.0102,0
0.2,0,,1,no_pose,0.60693,0.0582,0.69276,1.396263,-2.412169,-1.571349,0.610865,-0.0002,-0.786486,0.000174,80.0,-138.2071,-90.0317,35.0,-0.0115,-45.0623,0.01,0
0.25,0,,1,no_pose,0.60016,0.06638,0.69283,1.396263,-2.486131,-1.571551,0.610865,-0.0002,-0.786503,0.000196,80.0,-142.4448,-90.0432,35.0,-0.0115,-45.0633,0.0112,0
0.3,0,,1,no_pose,0.59918,0.06793,0.69295,1.396263,-2.503166,-1.572327,0.610865,-0.00018,-0.78643,0.000209,80.0,-143.4208,-90.0877,35.0,-0.0103,-45.0591,0.012,0
0.35,0,,1,no_pose,0.59995,0.06664,0.69279,1.396263,-2.504594,-1.571212,0.610865,-0.000196,-0.786464,0.000166,80.0,-143.5026,-90.0238,35.0,-0.0112,-45.0611,0.0095,0
0.4,0,,1,no_pose,0.60013,0.06635,0.69276,1.396263,-2.504417,-1.570808,0.610865,-0.000202,-0.78648,0.00015,80.0,-143.4925,-90.0007,35.0,-0.0116,-45.062,0.0086,0
0.45,0,,1,no_pose,0.60015,0.06634,0.69276,1.396263,-2.504454,-1.570707,0.610865,-0.000204,-0.786482,0.000143,80.0,-143.4947,-89.9949,35.0,-0.0117,-45.0621,0.0082,0
0.5,0,,1,no_pose,0.60016,0.06633,0.69276,1.396263,-2.504605,-1.570656,0.610865,-0.000205,-0.786482,0.00014,80.0,-143.5033,-89.992,35.0,-0.0118,-45.0621,0.008,0
0.55,0,,1,no_pose,0.60016,0.06633,0.69276,1.396263,-2.504456,-1.570665,0.610865,-0.000206,-0.786482,0.000139,80.0,-143.4947,-89.9925,35.0,-0.0118,-45.0621,0.008,0
0.6,0,,1,ok,0.59489,0.02772,0.6588,1.396263,-2.477675,-1.498163,0.532326,-0.048268,-0.864001,-0.009005,80.0,-141.9603,-85.8384,30.5001,-2.7655,-49.5036,-0.5159,0
0.65,0,,1,ok,0.58533,-0.01707,0.626,1.396263,-2.465585,-1.418938,0.453786,-0.070681,-0.94371,-0.016536,80.0,-141.2676,-81.2991,26.0,-4.0497,-54.0706,-0.9475,0
0.7,0,,1,ok,0.57181,-0.05744,0.59972,1.396263,-2.461505,-1.340682,0.375246,-0.079811,-1.020758,-0.02876,80.0,-141.0339,-76.8154,21.5,-4.5729,-58.4851,-1.6478,0
0.75,0,,1,ok,0.55514,-0.09747,0.57894,1.396263,-2.459962,-1.262737,0.296705,-0.085082,-1.092827,-0.049851,80.0,-140.9454,-72.3495,17.0,-4.8748,-62.6143,-2.8563,0
0.8,0,,1,ok,0.53354,-0.13626,0.56338,1.396263,-2.459423,-1.184723,0.218165,-0.088568,-1.164574,-0.063209,80.0,-140.9146,-67.8796,12.5,-5.0746,-66.7252,-3.6216,0
0.85,0,,1,ok,0.50778,-0.17325,0.55391,1.396263,-2.460412,-1.107801,0.144149,-0.090871,-1.239056,-0.049696,80.0,-140.9712,-63.4723,8.2591,-5.2065,-70.9927,-2.8474,0
0.9,0,,1,ok,0.49101,-0.20466,0.55383,1.396263,-2.461534,-1.031334,0.110735,-0.087925,-1.316973,-0.044148,80.0,-141.0355,-59.0911,6.3447,-5.0377,-75.457,-2.5295,0
0.95,0,,1,ok,0.48837,-0.23213,0.55593,1.396263,-2.461835,-0.955568,0.099084,-0.086418,-1.294664,-0.028859,80.0,-141.0528,-54.75,5.6771,-4.9514,-74.1788,-1.6535,0
1.0,0,,1,ok,0.48966,-0.25854,0.5615,1.396263,-2.461824,-0.880212,0.095021,-0.086375,-1.266551,-0.020601,80.0,-141.0521,-50.4324,5.4443,-4.9489,-72.568,-1.1803,0
1.05,0,,1,ok,0.48769,-0.2834,0.57155,1.396263,-2.461151,-0.804431,0.093607,-0.086167,-1.327904,-0.022947,80.0,-141.0135,-46.0905,5.3633,-4.937,-76.0833,-1.3148,0
1.1,0,,1,ok,0.48519,-0.30885,0.57999,1.396263,-2.461757,-0.729328,0.093111,-0.087121,-1.278133,-0.015507,80.0,-141.0483,-41.7874,5.3349,-4.9917,-73.2316,-0.8885,0
1.15,0,,1,ok,0.48282,-0.3329,0.59093,1.396263,-2.461811,-0.65437,0.092941,-0.087847,-1.317443,-0.021647,80.0,-141.0514,-37.4926,5.3251,-5.0333,-75.4839,-1.2403,0
1.2,0,,1,ok,0.47899,-0.3566,0.60133,1.396263,-2.462396,-0.580241,0.092879,-0.086402,-1.280407,-0.016254,80.0,-141.0849,-33.2454,5.3216,-4.9505,-73.3619,-0.9313,0
1.25,0,,1,ok,0.47294,-0.37838,0.61414,1.396263,-2.46228,-0.506275,0.09286,-0.086271,-1.306662,-0.016306,80.0,-141.0782,-29.0074,5.3205,-4.943,-74.8662,-0.9343,0
