trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s,n_obstacles,total_hits,penalty_accumulated_s,adjusted_duration_s
1,Obs-Transport 1,success,7.462,0.7203,-0.2044,1.0726,0.6433,-0.2111,1.2616,0.3678,-0.5196,0.7719,0.5604,0.641,4.126,0.571,2.093,0.805,0,16,0.0,7.594
2,Obs-Transport 2,success,11.7,0.6379,-0.2154,1.2649,0.7609,-0.0623,1.0053,0.6828,-0.2452,1.2554,0.0548,0.3196,6.606,0.457,4.021,0.728,0,9,0.0,11.812
3,Obs-Transport 3,success,4.593,0.7177,-0.2078,1.082,0.6875,-0.0876,1.2701,0.7525,-0.0996,0.9885,0.1472,0.2893,2.725,0.392,1.053,0.535,0,5,0.0,4.706
4,Obs-Transport 4,success,13.535,0.6465,-0.1962,1.2694,0.7355,-0.0822,1.1788,0.658,-0.1156,1.2781,0.0819,0.1304,4.378,0.545,7.328,1.4,0,8,0.0,13.651
5,Obs-Transport 5,success,4.973,0.7408,-0.1499,0.9901,0.7546,-0.0694,0.9646,0.703,-0.0806,1.1592,0.1866,0.2016,2.777,0.583,0.612,1.115,0,0,0.0,5.086
6,Obs-Transport 6,success,11.199,0.7052,-0.1801,1.1822,0.7198,-0.1893,1.122,0.7512,-0.0888,0.9311,0.2711,0.218,7.631,0.547,1.334,1.808,0,14,0.0,11.319
7,Obs-Transport 7,success,12.419,0.758,-0.0744,0.9904,0.6745,-0.0888,1.2875,0.7146,-0.1926,1.1037,0.1694,0.2148,1.408,0.687,8.919,1.558,0,12,0.0,12.573
8,Obs-Transport 8,success,3.812,0.756,-0.0795,0.981,0.7522,-0.105,0.9858,0.6289,-0.0876,1.2863,0.3308,0.3253,2.543,0.547,0.028,0.82,0,9,0.0,3.939
9,Obs-Transport 9,success,8.578,0.7237,-0.1184,1.1899,0.6778,-0.271,0.9975,0.7321,-0.0971,0.9615,0.2296,0.1857,4.059,0.568,2.948,1.138,0,0,0.0,8.713
10,Obs-Transport 10,success,11.215,0.6476,-0.2565,1.2055,0.6945,-0.2263,1.1442,0.721,-0.2693,1.0288,0.1918,0.126,7.563,0.716,0.343,2.732,0,4,0.0,11.354
