frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg
2025-12-17T23:31:11.049232,0,0.3865,38.65,-94.83,-0.89,-161.14
2025-12-17T23:31:11.240128,0,0.3480,34.80,-96.45,-4.26,166.09
2025-12-17T23:31:11.321233,0,0.3477,34.77,-95.36,-9.47,165.73
2025-12-17T23:31:11.512501,0,0.3482,34.82,-94.16,-8.56,164.72
2025-12-17T23:31:11.544455,0,0.3508,35.08,-94.17,-7.91,166.24
2025-12-17T23:31:11.657137,0,0.3944,39.44,-89.94,-4.41,164.58
2025-12-17T23:31:11.688244,0,0.3865,38.65,-90.35,-5.67,-161.40
2025-12-17T23:31:11.720239,0,0.3850,38.50,-89.66,-4.62,-161.09
2025-12-17T23:31:11.753151,0,0.3880,38.80,-89.60,-1.59,162.76
2025-12-17T23:31:11.784240,0,0.3879,38.79,-91.61,-2.64,-165.18
2025-12-17T23:31:11.816240,0,0.3851,38.51,-89.19,-2.04,164.69
2025-12-17T23:31:11.848256,0,0.3479,34.79,-91.32,-3.44,166.08
2025-12-17T23:31:11.880104,0,0.3850,38.50,-90.08,-4.36,-164.62
2025-12-17T23:31:11.913145,0,0.3893,38.93,-92.16,-3.70,167.35
2025-12-17T23:31:11.960144,0,0.3453,34.53,-91.76,-3.70,166.63
2025-12-17T23:31:11.992244,0,0.3334,33.34,-92.09,1.66,158.12
2025-12-17T23:31:12.056517,0,0.3451,34.51,-92.38,-3.64,166.58
2025-12-17T23:31:12.088513,0,0.3430,34.30,-91.78,-4.47,164.90
2025-12-17T23:31:12.216144,0,0.3410,34.10,-91.75,-3.38,163.51
2025-12-17T23:31:12.328152,0,0.3475,34.75,-91.34,-4.59,167.23
2025-12-17T23:31:12.424255,0,0.3869,38.69,-89.38,-6.41,167.63
2025-12-17T23:31:12.488133,0,0.3383,33.83,-90.89,-1.01,160.60
2025-12-17T23:31:12.520263,0,0.3835,38.35,-88.96,-4.99,164.56
2025-12-17T23:31:12.633159,0,0.3836,38.36,-88.96,-5.16,164.58
2025-12-17T23:31:12.696161,0,0.3411,34.11,-90.30,-4.05,164.48
2025-12-17T23:31:12.728150,0,0.3444,34.44,-90.30,-4.28,166.40
2025-12-17T23:31:12.760170,0,0.3810,38.10,-88.67,-4.80,164.11
2025-12-17T23:31:12.792159,0,0.3445,34.45,-90.07,-4.69,165.18
2025-12-17T23:31:12.824161,0,0.3847,38.47,-88.24,-6.59,164.76
2025-12-17T23:31:12.857276,0,0.3848,38.48,-88.98,-5.23,165.69
2025-12-17T23:31:12.888784,0,0.3850,38.50,-88.97,-4.90,163.25
2025-12-17T23:31:12.920050,0,0.3784,37.84,-88.96,-3.49,158.18
2025-12-17T23:31:12.952273,0,0.3811,38.11,-88.95,-2.63,157.51
2025-12-17T23:31:13.000043,0,0.3829,38.29,-88.56,-2.77,157.10
2025-12-17T23:31:13.032271,0,0.3831,38.31,-88.57,-2.63,153.86
2025-12-17T23:31:13.064670,0,0.3857,38.57,-89.00,-1.53,-154.39
2025-12-17T23:31:13.095757,0,0.3887,38.87,-88.94,-3.35,151.79
2025-12-17T23:31:13.128272,0,0.3886,38.86,-88.93,-1.87,151.81
2025-12-17T23:31:13.160518,0,0.3862,38.62,-89.27,-2.06,147.67
2025-12-17T23:31:14.040501,0,0.3861,38.61,-91.25,-4.09,147.91
2025-12-17T23:31:14.200296,0,0.3885,38.85,-90.62,-5.03,153.91
2025-12-17T23:31:14.231498,0,0.3877,38.77,-90.64,-5.13,155.26
2025-12-17T23:31:14.263180,0,0.3876,38.76,-90.66,-5.09,155.52
2025-12-17T23:31:14.343510,0,0.3301,33.01,-92.04,-3.37,152.00
2025-12-17T23:31:14.536304,0,0.3419,34.19,-91.83,-5.80,158.45
2025-12-17T23:31:14.712217,0,0.3390,33.90,-90.89,-6.93,158.93
2025-12-17T23:31:14.903818,0,0.3461,34.61,-91.26,-9.41,162.03
2025-12-17T23:31:15.208207,0,0.3311,33.11,-88.03,-6.75,154.04
2025-12-17T23:31:15.272325,0,0.3403,34.03,-89.33,-9.91,156.24
2025-12-17T23:31:16.312254,0,0.3432,34.32,-83.13,-9.42,135.08
2025-12-17T23:31:16.647956,0,0.3490,34.90,-89.63,-6.89,159.42
2025-12-17T23:31:16.680438,0,0.3513,35.13,-88.93,-6.41,160.16
2025-12-17T23:31:16.888257,0,0.3553,35.53,-89.31,-7.70,164.73
