frame,Shoulder x,Shoulder y,Shoulder z,Elbow x,Elbow y,Elbow z,Wrist x,Wrist y,Wrist z,Index x,Index y,Index z,Thumb x,Thumb y,Thumb z,Pinky x,Pinky y,Pinky z,HipL x,HipL y,HipL z,HipR x,HipR y,HipR z
0,-0.0948178619146347,-0.4430354833602905,0.08601225167512894,-0.22295452654361725,-0.4691804349422455,-0.030223965644836426,-0.1819828748703003,-0.44013869762420654,-0.07248150557279587,-0.1483115702867508,-0.3912084400653839,-0.07116873562335968,-0.17043176293373108,-0.42083385586738586,-0.07038520276546478,-0.16492734849452972,-0.40664616227149963,-0.0841124877333641,0.0580563098192215,0.02753729559481144,0.07862262427806854,-0.057876106351614,-0.02955877222120762,-0.07778677344322205
1,-0.10153589397668839,-0.4363209903240204,0.11056800186634064,-0.21802863478660583,-0.3798752427101135,-0.02576468698680401,-0.12994760274887085,-0.32055267691612244,-0.10347820818424225,-0.08812029659748077,-0.2916899621486664,-0.09617993980646133,-0.11845523864030838,-0.3101908266544342,-0.09764152765274048,-0.10145393013954163,-0.29270580410957336,-0.11302827298641205,0.06126027554273605,0.03236781805753708,0.07767228037118912,-0.060961078852415085,-0.03400466963648796,-0.07671977579593658
2,-0.10134266316890717,-0.43100062012672424,0.12124403566122055,-0.19377276301383972,-0.32680025696754456,-0.007674586959183216,-0.10799503326416016,-0.23522424697875977,-0.10550771653652191,-0.06945538520812988,-0.20517598092556,-0.09905273467302322,-0.09781515598297119,-0.22558601200580597,-0.10023213177919388,-0.081301249563694,-0.20395776629447937,-0.11475007981061935,0.061354994773864746,0.03291938453912735,0.07545561343431473,-0.06104138866066933,-0.03444835916161537,-0.0743834376335144
3,-0.10428748279809952,-0.42432865500450134,0.11911162734031677,-0.19690436124801636,-0.3065689504146576,-0.007382805924862623,-0.11320196092128754,-0.22363029420375824,-0.12144644558429718,-0.07492361217737198,-0.20051951706409454,-0.117366723716259,-0.10254621505737305,-0.21679987013339996,-0.1165725514292717,-0.08748587965965271,-0.1951991468667984,-0.1322362869977951,0.06158295273780823,0.0359053872525692,0.07392179220914841,-0.06126752868294716,-0.03718743473291397,-0.07279759645462036
4,-0.10735902935266495,-0.4202379882335663,0.1264893114566803,-0.2038780003786087,-0.30564120411872864,0.004650588613003492,-0.12089744210243225,-0.2086630016565323,-0.11759007722139359,-0.08238446712493896,-0.1808820217847824,-0.11347454786300659,-0.10994503647089005,-0.19993874430656433,-0.11263032257556915,-0.09617592394351959,-0.18015840649604797,-0.12913332879543304,0.06179586797952652,0.03828052058815956,0.07311788946390152,-0.061469294130802155,-0.039470791816711426,-0.07194297760725021
5,-0.10784789174795151,-0.41943520307540894,0.12877528369426727,-0.2264815866947174,-0.30803316831588745,0.009371980093419552,-0.1400376856327057,-0.2020660638809204,-0.1155850812792778,-0.10502871125936508,-0.17513662576675415,-0.11023001372814178,-0.12939612567424774,-0.1930592805147171,-0.11035773158073425,-0.11915292590856552,-0.17508113384246826,-0.12621594965457916,0.0621403306722641,0.03936676308512688,0.07434296607971191,-0.061789561063051224,-0.040539201349020004,-0.07312922924757004
6,-0.11229009926319122,-0.4161008298397064,0.1287638545036316,-0.24591302871704102,-0.29678311944007874,0.007134458050131798,-0.14072558283805847,-0.18627876043319702,-0.13061480224132538,-0.10552939772605896,-0.1534164547920227,-0.1221219077706337,-0.12999789416790009,-0.17668455839157104,-0.12411867082118988,-0.11986380815505981,-0.15116333961486816,-0.14034634828567505,0.0631258487701416,0.040925148874521255,0.07566304504871368,-0.06274551898241043,-0.042002979665994644,-0.07434267550706863
7,-0.1118708997964859,-0.41698363423347473,0.12726043164730072,-0.2458181083202362,-0.3124934434890747,0.0026965902652591467,-0.14436547458171844,-0.2110132873058319,-0.13802579045295715,-0.10752809792757034,-0.1824178695678711,-0.1288396418094635,-0.13335570693016052,-0.20183028280735016,-0.13142630457878113,-0.12203765660524368,-0.18134984374046326,-0.14787982404232025,0.06304076313972473,0.04080035537481308,0.0795266181230545,-0.06265247613191605,-0.04189804941415787,-0.07820092886686325
8,-0.11327020823955536,-0.4109303057193756,0.13715310394763947,-0.24491478502750397,-0.29422128200531006,0.008820639923214912,-0.1444598287343979,-0.1854470819234848,-0.13613475859165192,-0.10636302083730698,-0.15446776151657104,-0.12876735627651215,-0.13306942582130432,-0.17639043927192688,-0.13006208837032318,-0.12167137861251831,-0.15326811373233795,-0.14702533185482025,0.06385879963636398,0.04132766276597977,0.07950075715780258,-0.06343919783830643,-0.04241028055548668,-0.07817868888378143
9,-0.11299505829811096,-0.40557172894477844,0.13498759269714355,-0.23968343436717987,-0.30012616515159607,0.007285768631845713,-0.13894546031951904,-0.20163655281066895,-0.13336728513240814,-0.09726671874523163,-0.17172062397003174,-0.12641745805740356,-0.1266806572675705,-0.19308139383792877,-0.12746787071228027,-0.11339960247278214,-0.16944558918476105,-0.14434708654880524,0.06432934105396271,0.041349705308675766,0.07951337099075317,-0.06387121975421906,-0.04243309423327446,-0.07819542288780212
10,-0.10954893380403519,-0.4047136902809143,0.13372687995433807,-0.22508344054222107,-0.3021564185619354,0.010104815475642681,-0.12913784384727478,-0.20908710360527039,-0.09222099184989929,-0.0864623636007309,-0.18036049604415894,-0.0793895423412323,-0.11823868751525879,-0.20127511024475098,-0.0845971629023552,-0.09774264693260193,-0.17731624841690063,-0.09808392822742462,0.06297983974218369,0.040430549532175064,0.07953426986932755,-0.06261803209781647,-0.04142673686146736,-0.07823881506919861
11,-0.10698359459638596,-0.40511903166770935,0.1300371140241623,-0.22117874026298523,-0.29940617084503174,0.001844092272222042,-0.1245746836066246,-0.2095777988433838,-0.108151875436306,-0.08101034164428711,-0.18497714400291443,-0.09235502779483795,-0.1131422147154808,-0.20264731347560883,-0.09936818480491638,-0.09355748444795609,-0.1806241124868393,-0.11441310495138168,0.06196124479174614,0.04037707671523094,0.0809803456068039,-0.06158355250954628,-0.04138360172510147,-0.0797208771109581
12,-0.10664375871419907,-0.4045746922492981,0.12722496688365936,-0.22645139694213867,-0.29021477699279785,0.0012688494753092527,-0.12533387541770935,-0.19248038530349731,-0.11099789291620255,-0.08312864601612091,-0.1685282588005066,-0.09431768208742142,-0.11384762823581696,-0.18629221618175507,-0.10182930529117584,-0.09510298073291779,-0.16099923849105835,-0.11747250705957413,0.06118173152208328,0.040356725454330444,0.08307044953107834,-0.06080278009176254,-0.04136533662676811,-0.08176317065954208
13,-0.10674255341291428,-0.4050965905189514,0.11852981150150299,-0.22593478858470917,-0.2927149832248688,-0.009725016541779041,-0.11399277299642563,-0.19544251263141632,-0.118971087038517,-0.06359993666410446,-0.17255936563014984,-0.10193683207035065,-0.10077943652868271,-0.18979333341121674,-0.10934438556432724,-0.0779319480061531,-0.16440166532993317,-0.12554225325584412,0.06054609268903732,0.040184155106544495,0.08418957889080048,-0.06017677113413811,-0.04118727892637253,-0.08293553441762924
