Frame;Elbow Angle;
0;-55.724564075557936;
1;-65.80364355656793;
2;-66.60617042547206;
3;-63.48029890317615;
4;-58.710844657921044;
5;-57.817774322101116;
6;-69.09620974918778;
7;-61.412937985442476;
8;-60.29652056527297;
9;-62.92505364826107;
10;-63.89701865441904;
11;-68.87785542998279;
12;-74.11202499376537;
13;-73.33236221049168;
14;-71.65362927029831;
15;-69.97013225992251;
16;-68.45601088321351;
17;-65.53533639685551;
18;-72.52180787330929;
19;-73.72726578815056;
20;-72.77960905048478;
21;-71.44599539973332;
22;-71.69698923844675;
23;-74.53100278280242;
24;-73.72819218994647;
25;-76.6992890108425;
26;-75.78702219847007;
27;-76.09611359935981;
28;-75.34908519738394;
29;-77.22192216074473;
30;-78.76299220731948;
31;-80.25765403137638;
32;-80.7794481938246;
33;-80.67213394962005;
34;-80.03174968257632;
35;-79.00898231548341;
36;-78.8125868475247;
37;-76.76515929989205;
38;-75.35390440675445;
39;-78.20307271862404;
40;-71.73782801158798;
41;-72.53850396572143;
42;-71.87317637929912;
43;-72.61562452335919;
44;-76.83758079086871;
45;-76.81269500478683;
46;-74.35250607295255;
47;-75.32348132881488;
48;-76.08342239562128;
49;-76.3111681734917;
50;-74.27862463938688;
51;-74.50946982403995;
52;-77.25137706569396;
53;-77.67337614638683;
54;-76.91222112320841;
55;-77.30259710507838;
56;-77.40899266198792;
57;-77.0172023133364;
58;-77.26786077126351;
59;-77.33340142771564;
60;-79.12964804360969;
61;-80.78970016701555;
62;-80.41074662661833;
63;-81.09781561699728;
64;-81.07913906843207;
65;-81.52561467316437;
66;-82.70787259998274;
67;-82.0133543079813;
68;-81.19147298549882;
69;-81.17019249346762;
70;-81.50766218255218;
71;-80.2674067418595;
72;-81.98830241911621;
73;-82.69550303265947;
74;-86.53982924140115;
75;-88.9951386363833;
76;-87.81886633666697;
77;-87.5707814183134;
78;-82.60717419870073;
79;-82.98576682033118;
80;-84.36989411412668;
81;-83.9066127621124;
82;-83.73259515894217;
83;-83.62521393763039;
84;-83.86801087551865;
85;-88.07425067237986;
86;-89.28436123470124;
87;-90.05440241906594;
88;-89.773289495079;
89;-91.14405545873859;
90;-93.19130773457348;
91;-93.5583581275753;
92;-93.20829534537485;
93;-93.46473121278763;
94;-95.41899603160925;
95;-98.6475557058471;
96;-97.71206162226665;
97;-97.63385351693012;
98;-96.67053386914127;
99;-95.83632552510991;
100;-94.6273499819516;
101;-94.66200427002791;
102;-94.26601139087893;
103;-93.71133516856875;
104;-93.6437464003882;
105;-94.43372409211547;
106;-94.61000371374763;
107;-94.33978976666292;
108;-93.2315607420829;
109;-91.89931073969852;
110;-91.10264931997719;
111;-91.05607336820054;
112;-90.45593897466483;
113;-90.89190530781767;
114;-90.47458597016745;
115;-89.18915750968533;
116;-87.37944785496784;
117;-86.46654880491148;
118;-87.40701233537519;
119;-87.62915625773819;
120;-87.72036343024837;
121;-89.59773978292877;
122;-90.26569132585621;
123;-88.04294813239747;
124;-86.93883565589265;
125;-86.00283131131768;
126;-84.17671478056334;
127;-83.00847499403561;
128;-82.8674238335526;
129;-79.5023844056084;
130;-78.6478177480747;
131;-80.52664833803954;
132;-80.68610324734688;
133;-75.83625833675896;
134;-74.60819203243297;
135;-74.58313495083097;
136;-74.06862413991159;
137;-76.92484012157209;
138;-75.78252861596097;
139;-77.44719773460963;
140;-78.36960458326978;
141;-76.35405778472911;
142;-74.13987057881737;
143;-71.85777522685883;
144;-67.78338487146338;
145;-64.14557573906416;
146;-62.033277105271786;
147;-59.04178542458765;
148;-59.90798797465876;
149;-60.689681545352855;
150;-58.27307038234897;
151;-55.967123081650136;
152;-56.43535747139902;
153;-54.571637319148834;
154;-52.71383669435522;
155;-47.72864961065992;
156;-48.276042578367594;
157;-45.969198900629;
158;-43.36810725611598;
159;-42.46633850561912;
160;-40.45769205308337;
161;-40.54939831837522;
162;-39.69454554154961;
163;-34.760247484799166;
164;-32.11936819113824;
165;-31.151809644531212;
166;-30.14772205892792;
167;-29.701527908771897;
168;-28.713269406287733;
169;-28.203213465073624;
170;-29.868326278099687;
171;-30.76922654015548;
172;-30.699854481400767;
173;-31.686404482852218;
174;-32.956288368406206;
175;-32.986596332452415;
176;-34.529568224886766;
177;-36.000966612435846;
178;-36.89793287242238;
179;-36.56025314356762;
180;-35.84846834670466;
181;-34.45946283761079;
182;-34.45021235981298;
183;-37.70507159221718;
184;-37.97397588345787;
185;-37.35805735891244;
186;-39.03706975444095;
187;-40.203438239009024;
188;-38.92328721605857;
189;-38.77103071445526;
190;-38.76779335504993;
191;-40.41849869734701;
192;-42.79058554251382;
193;-44.49768597425877;
194;-50.45211830325581;
195;-50.08531881543321;
196;-49.52792246052815;
197;-44.61816041998879;
198;-39.32542434408726;
199;-34.459228732779536;
200;-30.83607402715812;
201;-29.243880166365297;
202;-25.27791565156812;
203;-25.33599147873349;
204;-27.104072397177923;
205;-29.474014294309338;
